State,County,Date,Ozone
Alaska,Anchorage,2020/1/24,-999.0
Alaska,Eagle River,2020/1/24,-999.0
Alaska,Bethel,2020/1/24,-999.0
Alaska,Fairbanks,2020/1/24,-999.0
Alaska,North Pole,2020/1/24,-999.0
Alaska,Juneau,2020/1/24,-999.0
Alaska,Soldonta,2020/1/24,-999.0
Alaska,Butte,2020/1/24,-999.0
Alaska,Palmer,2020/1/24,-999.0
Alaska,Wasilla,2020/1/24,-999.0
Alaska,Anchorage,2020/1/25,-999.0
Alaska,Eagle River,2020/1/25,-999.0
Alaska,Bethel,2020/1/25,-999.0
Alaska,Fairbanks,2020/1/25,-999.0
Alaska,North Pole,2020/1/25,-999.0
Alaska,Juneau,2020/1/25,-999.0
Alaska,Soldonta,2020/1/25,-999.0
Alaska,Butte,2020/1/25,-999.0
Alaska,Palmer,2020/1/25,-999.0
Alaska,Wasilla,2020/1/25,-999.0
Alaska,Anchorage,2020/1/26,-999.0
Alaska,Eagle River,2020/1/26,-999.0
Alaska,Bethel,2020/1/26,-999.0
Alaska,Fairbanks,2020/1/26,7.0
Alaska,North Pole,2020/1/26,-999.0
Alaska,Juneau,2020/1/26,-999.0
Alaska,Soldonta,2020/1/26,-999.0
Alaska,Butte,2020/1/26,-999.0
Alaska,Palmer,2020/1/26,-999.0
Alaska,Wasilla,2020/1/26,-999.0
Alaska,Anchorage,2020/1/27,-999.0
Alaska,Eagle River,2020/1/27,-999.0
Alaska,Bethel,2020/1/27,-999.0
Alaska,Fairbanks,2020/1/27,12.0
Alaska,North Pole,2020/1/27,-999.0
Alaska,Juneau,2020/1/27,-999.0
Alaska,Soldonta,2020/1/27,-999.0
Alaska,Butte,2020/1/27,-999.0
Alaska,Palmer,2020/1/27,-999.0
Alaska,Wasilla,2020/1/27,-999.0
Alaska,Anchorage,2020/1/28,-999.0
Alaska,Eagle River,2020/1/28,-999.0
Alaska,Bethel,2020/1/28,-999.0
Alaska,Fairbanks,2020/1/28,-999.0
Alaska,North Pole,2020/1/28,-999.0
Alaska,Juneau,2020/1/28,-999.0
Alaska,Soldonta,2020/1/28,-999.0
Alaska,Butte,2020/1/28,-999.0
Alaska,Palmer,2020/1/28,-999.0
Alaska,Wasilla,2020/1/28,-999.0
Alaska,Anchorage,2020/1/29,-999.0
Alaska,Eagle River,2020/1/29,-999.0
Alaska,Bethel,2020/1/29,-999.0
Alaska,Fairbanks,2020/1/29,5.0
Alaska,North Pole,2020/1/29,-999.0
Alaska,Juneau,2020/1/29,-999.0
Alaska,Soldonta,2020/1/29,-999.0
Alaska,Butte,2020/1/29,-999.0
Alaska,Palmer,2020/1/29,-999.0
Alaska,Wasilla,2020/1/29,-999.0
Alaska,Anchorage,2020/1/30,-999.0
Alaska,Eagle River,2020/1/30,-999.0
Alaska,Bethel,2020/1/30,-999.0
Alaska,Fairbanks,2020/1/30,-999.0
Alaska,North Pole,2020/1/30,-999.0
Alaska,Juneau,2020/1/30,-999.0
Alaska,Soldonta,2020/1/30,-999.0
Alaska,Butte,2020/1/30,-999.0
Alaska,Palmer,2020/1/30,-999.0
Alaska,Wasilla,2020/1/30,-999.0
Alaska,Anchorage,2020/1/31,-999.0
Alaska,Eagle River,2020/1/31,-999.0
Alaska,Bethel,2020/1/31,-999.0
Alaska,Fairbanks,2020/1/31,14.0
Alaska,North Pole,2020/1/31,-999.0
Alaska,Juneau,2020/1/31,-999.0
Alaska,Soldonta,2020/1/31,-999.0
Alaska,Butte,2020/1/31,-999.0
Alaska,Palmer,2020/1/31,-999.0
Alaska,Wasilla,2020/1/31,-999.0
Alaska,Anchorage,2020/2/1,-999.0
Alaska,Eagle River,2020/2/1,-999.0
Alaska,Bethel,2020/2/1,-999.0
Alaska,Fairbanks,2020/2/1,6.0
Alaska,North Pole,2020/2/1,-999.0
Alaska,Juneau,2020/2/1,-999.0
Alaska,Soldonta,2020/2/1,-999.0
Alaska,Butte,2020/2/1,-999.0
Alaska,Palmer,2020/2/1,-999.0
Alaska,Wasilla,2020/2/1,-999.0
Alaska,Anchorage,2020/2/2,-999.0
Alaska,Eagle River,2020/2/2,-999.0
Alaska,Bethel,2020/2/2,-999.0
Alaska,Fairbanks,2020/2/2,6.0
Alaska,North Pole,2020/2/2,-999.0
Alaska,Juneau,2020/2/2,-999.0
Alaska,Soldonta,2020/2/2,-999.0
Alaska,Butte,2020/2/2,-999.0
Alaska,Palmer,2020/2/2,-999.0
Alaska,Wasilla,2020/2/2,-999.0
Alaska,Anchorage,2020/2/3,-999.0
Alaska,Eagle River,2020/2/3,-999.0
Alaska,Bethel,2020/2/3,-999.0
Alaska,Fairbanks,2020/2/3,2.0
Alaska,North Pole,2020/2/3,-999.0
Alaska,Juneau,2020/2/3,-999.0
Alaska,Soldonta,2020/2/3,-999.0
Alaska,Butte,2020/2/3,-999.0
Alaska,Palmer,2020/2/3,-999.0
Alaska,Wasilla,2020/2/3,-999.0
Alaska,Anchorage,2020/2/4,-999.0
Alaska,Eagle River,2020/2/4,-999.0
Alaska,Bethel,2020/2/4,-999.0
Alaska,Fairbanks,2020/2/4,8.0
Alaska,North Pole,2020/2/4,-999.0
Alaska,Juneau,2020/2/4,-999.0
Alaska,Soldonta,2020/2/4,-999.0
Alaska,Butte,2020/2/4,-999.0
Alaska,Palmer,2020/2/4,-999.0
Alaska,Wasilla,2020/2/4,-999.0
Alaska,Anchorage,2020/2/5,-999.0
Alaska,Eagle River,2020/2/5,-999.0
Alaska,Bethel,2020/2/5,-999.0
Alaska,Fairbanks,2020/2/5,3.0
Alaska,North Pole,2020/2/5,-999.0
Alaska,Juneau,2020/2/5,-999.0
Alaska,Soldonta,2020/2/5,-999.0
Alaska,Butte,2020/2/5,-999.0
Alaska,Palmer,2020/2/5,-999.0
Alaska,Wasilla,2020/2/5,-999.0
Alaska,Anchorage,2020/2/6,-999.0
Alaska,Eagle River,2020/2/6,-999.0
Alaska,Bethel,2020/2/6,-999.0
Alaska,Fairbanks,2020/2/6,17.0
Alaska,North Pole,2020/2/6,-999.0
Alaska,Juneau,2020/2/6,-999.0
Alaska,Soldonta,2020/2/6,-999.0
Alaska,Butte,2020/2/6,-999.0
Alaska,Palmer,2020/2/6,-999.0
Alaska,Wasilla,2020/2/6,-999.0
Alaska,Anchorage,2020/2/7,-999.0
Alaska,Eagle River,2020/2/7,-999.0
Alaska,Bethel,2020/2/7,-999.0
Alaska,Fairbanks,2020/2/7,16.0
Alaska,North Pole,2020/2/7,-999.0
Alaska,Juneau,2020/2/7,-999.0
Alaska,Soldonta,2020/2/7,-999.0
Alaska,Butte,2020/2/7,-999.0
Alaska,Palmer,2020/2/7,-999.0
Alaska,Wasilla,2020/2/7,-999.0
Alaska,Anchorage,2020/2/8,-999.0
Alaska,Eagle River,2020/2/8,-999.0
Alaska,Bethel,2020/2/8,-999.0
Alaska,Fairbanks,2020/2/8,6.0
Alaska,North Pole,2020/2/8,-999.0
Alaska,Juneau,2020/2/8,-999.0
Alaska,Soldonta,2020/2/8,-999.0
Alaska,Butte,2020/2/8,-999.0
Alaska,Palmer,2020/2/8,-999.0
Alaska,Wasilla,2020/2/8,-999.0
Alaska,Anchorage,2020/2/9,-999.0
Alaska,Eagle River,2020/2/9,-999.0
Alaska,Bethel,2020/2/9,-999.0
Alaska,Fairbanks,2020/2/9,31.0
Alaska,North Pole,2020/2/9,-999.0
Alaska,Juneau,2020/2/9,-999.0
Alaska,Soldonta,2020/2/9,-999.0
Alaska,Butte,2020/2/9,-999.0
Alaska,Palmer,2020/2/9,-999.0
Alaska,Wasilla,2020/2/9,-999.0
Alaska,Anchorage,2020/2/10,-999.0
Alaska,Eagle River,2020/2/10,-999.0
Alaska,Bethel,2020/2/10,-999.0
Alaska,Fairbanks,2020/2/10,17.0
Alaska,North Pole,2020/2/10,-999.0
Alaska,Juneau,2020/2/10,-999.0
Alaska,Soldonta,2020/2/10,-999.0
Alaska,Butte,2020/2/10,-999.0
Alaska,Palmer,2020/2/10,-999.0
Alaska,Wasilla,2020/2/10,-999.0
Alaska,Anchorage,2020/2/11,-999.0
Alaska,Eagle River,2020/2/11,-999.0
Alaska,Bethel,2020/2/11,-999.0
Alaska,Fairbanks,2020/2/11,7.0
Alaska,North Pole,2020/2/11,-999.0
Alaska,Juneau,2020/2/11,-999.0
Alaska,Soldonta,2020/2/11,-999.0
Alaska,Butte,2020/2/11,-999.0
Alaska,Palmer,2020/2/11,-999.0
Alaska,Wasilla,2020/2/11,-999.0
Alaska,Anchorage,2020/2/12,-999.0
Alaska,Eagle River,2020/2/12,-999.0
Alaska,Bethel,2020/2/12,-999.0
Alaska,Fairbanks,2020/2/12,23.0
Alaska,North Pole,2020/2/12,-999.0
Alaska,Juneau,2020/2/12,-999.0
Alaska,Soldonta,2020/2/12,-999.0
Alaska,Butte,2020/2/12,-999.0
Alaska,Palmer,2020/2/12,-999.0
Alaska,Wasilla,2020/2/12,-999.0
Alaska,Anchorage,2020/2/13,-999.0
Alaska,Eagle River,2020/2/13,-999.0
Alaska,Bethel,2020/2/13,-999.0
Alaska,Fairbanks,2020/2/13,13.0
Alaska,North Pole,2020/2/13,-999.0
Alaska,Juneau,2020/2/13,-999.0
Alaska,Soldonta,2020/2/13,-999.0
Alaska,Butte,2020/2/13,-999.0
Alaska,Palmer,2020/2/13,-999.0
Alaska,Wasilla,2020/2/13,-999.0
Alaska,Anchorage,2020/2/14,-999.0
Alaska,Eagle River,2020/2/14,-999.0
Alaska,Bethel,2020/2/14,-999.0
Alaska,Fairbanks,2020/2/14,9.0
Alaska,North Pole,2020/2/14,-999.0
Alaska,Juneau,2020/2/14,-999.0
Alaska,Soldonta,2020/2/14,-999.0
Alaska,Butte,2020/2/14,-999.0
Alaska,Palmer,2020/2/14,-999.0
Alaska,Wasilla,2020/2/14,-999.0
Alaska,Anchorage,2020/2/15,-999.0
Alaska,Eagle River,2020/2/15,-999.0
Alaska,Bethel,2020/2/15,-999.0
Alaska,Fairbanks,2020/2/15,17.0
Alaska,North Pole,2020/2/15,-999.0
Alaska,Juneau,2020/2/15,-999.0
Alaska,Butte,2020/2/15,-999.0
Alaska,Palmer,2020/2/15,-999.0
Alaska,Wasilla,2020/2/15,-999.0
Alaska,Anchorage,2020/2/16,-999.0
Alaska,Eagle River,2020/2/16,-999.0
Alaska,Bethel,2020/2/16,-999.0
Alaska,Fairbanks,2020/2/16,8.0
Alaska,North Pole,2020/2/16,-999.0
Alaska,Juneau,2020/2/16,-999.0
Alaska,Soldonta,2020/2/16,-999.0
Alaska,Butte,2020/2/16,-999.0
Alaska,Palmer,2020/2/16,-999.0
Alaska,Wasilla,2020/2/16,-999.0
Alaska,Anchorage,2020/2/17,-999.0
Alaska,Eagle River,2020/2/17,-999.0
Alaska,Bethel,2020/2/17,-999.0
Alaska,Fairbanks,2020/2/17,6.0
Alaska,North Pole,2020/2/17,-999.0
Alaska,Juneau,2020/2/17,-999.0
Alaska,Soldonta,2020/2/17,-999.0
Alaska,Butte,2020/2/17,-999.0
Alaska,Palmer,2020/2/17,-999.0
Alaska,Wasilla,2020/2/17,-999.0
Alaska,Anchorage,2020/2/18,-999.0
Alaska,Eagle River,2020/2/18,-999.0
Alaska,Bethel,2020/2/18,-999.0
Alaska,Fairbanks,2020/2/18,14.0
Alaska,North Pole,2020/2/18,-999.0
Alaska,Juneau,2020/2/18,-999.0
Alaska,Soldonta,2020/2/18,-999.0
Alaska,Butte,2020/2/18,-999.0
Alaska,Palmer,2020/2/18,-999.0
Alaska,Wasilla,2020/2/18,-999.0
Alaska,Anchorage,2020/2/19,-999.0
Alaska,Eagle River,2020/2/19,-999.0
Alaska,Bethel,2020/2/19,-999.0
Alaska,Fairbanks,2020/2/19,-999.0
Alaska,North Pole,2020/2/19,-999.0
Alaska,Juneau,2020/2/19,-999.0
Alaska,Soldonta,2020/2/19,-999.0
Alaska,Butte,2020/2/19,-999.0
Alaska,Palmer,2020/2/19,-999.0
Alaska,Wasilla,2020/2/19,-999.0
Alaska,Anchorage,2020/2/20,-999.0
Alaska,Eagle River,2020/2/20,-999.0
Alaska,Bethel,2020/2/20,-999.0
Alaska,Fairbanks,2020/2/20,14.0
Alaska,North Pole,2020/2/20,-999.0
Alaska,Juneau,2020/2/20,-999.0
Alaska,Soldonta,2020/2/20,-999.0
Alaska,Butte,2020/2/20,-999.0
Alaska,Palmer,2020/2/20,-999.0
Alaska,Wasilla,2020/2/20,-999.0
Alaska,Anchorage,2020/2/21,-999.0
Alaska,Eagle River,2020/2/21,-999.0
Alaska,Bethel,2020/2/21,-999.0
Alaska,Fairbanks,2020/2/21,17.0
Alaska,North Pole,2020/2/21,-999.0
Alaska,Juneau,2020/2/21,-999.0
Alaska,Soldonta,2020/2/21,-999.0
Alaska,Butte,2020/2/21,-999.0
Alaska,Palmer,2020/2/21,-999.0
Alaska,Wasilla,2020/2/21,-999.0
Alaska,Anchorage,2020/2/22,-999.0
Alaska,Eagle River,2020/2/22,-999.0
Alaska,Bethel,2020/2/22,-999.0
Alaska,Fairbanks,2020/2/22,23.0
Alaska,North Pole,2020/2/22,-999.0
Alaska,Juneau,2020/2/22,-999.0
Alaska,Soldonta,2020/2/22,-999.0
Alaska,Butte,2020/2/22,-999.0
Alaska,Palmer,2020/2/22,-999.0
Alaska,Wasilla,2020/2/22,-999.0
Alaska,Anchorage,2020/2/23,-999.0
Alaska,Eagle River,2020/2/23,-999.0
Alaska,Bethel,2020/2/23,-999.0
Alaska,Fairbanks,2020/2/23,27.0
Alaska,North Pole,2020/2/23,-999.0
Alaska,Juneau,2020/2/23,-999.0
Alaska,Soldonta,2020/2/23,-999.0
Alaska,Butte,2020/2/23,-999.0
Alaska,Palmer,2020/2/23,-999.0
Alaska,Wasilla,2020/2/23,-999.0
Alaska,Anchorage,2020/2/24,-999.0
Alaska,Eagle River,2020/2/24,-999.0
Alaska,Bethel,2020/2/24,-999.0
Alaska,Fairbanks,2020/2/24,12.0
Alaska,North Pole,2020/2/24,-999.0
Alaska,Juneau,2020/2/24,-999.0
Alaska,Soldonta,2020/2/24,-999.0
Alaska,Butte,2020/2/24,-999.0
Alaska,Palmer,2020/2/24,-999.0
Alaska,Wasilla,2020/2/24,-999.0
Alaska,Anchorage,2020/2/25,-999.0
Alaska,Eagle River,2020/2/25,-999.0
Alaska,Bethel,2020/2/25,-999.0
Alaska,Fairbanks,2020/2/25,6.0
Alaska,North Pole,2020/2/25,-999.0
Alaska,Juneau,2020/2/25,-999.0
Alaska,Soldonta,2020/2/25,-999.0
Alaska,Butte,2020/2/25,-999.0
Alaska,Palmer,2020/2/25,-999.0
Alaska,Wasilla,2020/2/25,-999.0
Alaska,Anchorage,2020/2/26,-999.0
Alaska,Eagle River,2020/2/26,-999.0
Alaska,Bethel,2020/2/26,-999.0
Alaska,Fairbanks,2020/2/26,17.0
Alaska,North Pole,2020/2/26,-999.0
Alaska,Juneau,2020/2/26,-999.0
Alaska,Soldonta,2020/2/26,-999.0
Alaska,Butte,2020/2/26,-999.0
Alaska,Palmer,2020/2/26,-999.0
Alaska,Wasilla,2020/2/26,-999.0
Alaska,Anchorage,2020/2/27,-999.0
Alaska,Eagle River,2020/2/27,-999.0
Alaska,Bethel,2020/2/27,-999.0
Alaska,Fairbanks,2020/2/27,-999.0
Alaska,North Pole,2020/2/27,-999.0
Alaska,Juneau,2020/2/27,-999.0
Alaska,Soldonta,2020/2/27,-999.0
Alaska,Butte,2020/2/27,-999.0
Alaska,Palmer,2020/2/27,-999.0
Alaska,Wasilla,2020/2/27,-999.0
Alaska,Anchorage,2020/2/28,-999.0
Alaska,Eagle River,2020/2/28,-999.0
Alaska,Bethel,2020/2/28,-999.0
Alaska,Fairbanks,2020/2/28,-999.0
Alaska,North Pole,2020/2/28,-999.0
Alaska,Juneau,2020/2/28,-999.0
Alaska,Soldonta,2020/2/28,-999.0
