ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-24,-3.7999714905237947,-37.297794507035405,21.779926759281786,-3.7999714905237947,-3.7999714905237947,-3.2131789811725815,-3.2131789811725815,-3.2131789811725815,-3.2131789811725815,-3.2131789811725815,-3.2131789811725815,0.0,0.0,0.0,-7.013150471696376
2020-01-25,-3.6413047157436584,-23.756725436710383,29.953894586416116,-3.6413047157436584,-3.6413047157436584,5.940470049466851,5.940470049466851,5.940470049466851,5.940470049466851,5.940470049466851,5.940470049466851,0.0,0.0,0.0,2.299165333723193
2020-01-26,-3.4826379409635226,-25.178011900531097,30.130941585183873,-3.4826379409635226,-3.4826379409635226,5.465030009353654,5.465030009353654,5.465030009353654,5.465030009353654,5.465030009353654,5.465030009353654,0.0,0.0,0.0,1.9823920683901317
2020-01-27,-3.323971166183387,-27.350449917116897,26.004448535498476,-3.323971166183387,-3.323971166183387,2.210046532912003,2.210046532912003,2.210046532912003,2.210046532912003,2.210046532912003,2.210046532912003,0.0,0.0,0.0,-1.1139246332713837
2020-01-28,-3.165304398603677,-33.20270450482711,23.27626797346465,-3.165304398603677,-3.165304398603677,-2.1493355355524146,-2.1493355355524146,-2.1493355355524146,-2.1493355355524146,-2.1493355355524146,-2.1493355355524146,0.0,0.0,0.0,-5.314639934156092
2020-01-29,-3.0066376310239677,-34.918617374354326,20.29351791759057,-3.0066376310239677,-3.0066376310239677,-3.7122497643004175,-3.7122497643004175,-3.7122497643004175,-3.7122497643004175,-3.7122497643004175,-3.7122497643004175,0.0,0.0,0.0,-6.718887395324385
2020-01-30,-2.847970863444258,-35.62978437131563,21.941195481458973,-2.847970863444258,-2.847970863444258,-4.5407823107161125,-4.5407823107161125,-4.5407823107161125,-4.5407823107161125,-4.5407823107161125,-4.5407823107161125,0.0,0.0,0.0,-7.388753174160371
2020-01-31,-2.6893040870239657,-34.79778465071329,19.679788803209735,-2.6893040870239657,-2.6893040870239657,-3.2131789811977267,-3.2131789811977267,-3.2131789811977267,-3.2131789811977267,-3.2131789811977267,-3.2131789811977267,0.0,0.0,0.0,-5.902483068221692
2020-02-01,-2.5306373106036735,-23.24027308546797,32.05424328299718,-2.530637310603674,-2.530637310603674,5.9404700494711475,5.9404700494711475,5.9404700494711475,5.9404700494711475,5.9404700494711475,5.9404700494711475,0.0,0.0,0.0,3.409832738867474
2020-02-02,-2.371970534183382,-22.83451584634327,30.531517895343026,-2.371970534183382,-2.371970534183382,5.465030009352352,5.465030009352352,5.465030009352352,5.465030009352352,5.465030009352352,5.465030009352352,0.0,0.0,0.0,3.09305947516897
2020-02-03,-2.213303760360546,-27.837571299065203,28.973739573075708,-2.213303760360546,-2.213303760360546,2.2100465329279073,2.2100465329279073,2.2100465329279073,2.2100465329279073,2.2100465329279073,2.2100465329279073,0.0,0.0,0.0,-0.0032572274326385653
2020-02-04,-2.0546369865377097,-29.033564142643257,22.85701023449592,-2.0546369865377097,-2.0546369865377097,-2.149335535551981,-2.149335535551981,-2.149335535551981,-2.149335535551981,-2.149335535551981,-2.149335535551981,0.0,0.0,0.0,-4.203972522089691
2020-02-05,-1.89597022038097,-34.45717608738322,20.69813601848172,-1.89597022038097,-1.89597022038097,-3.712249764295975,-3.712249764295975,-3.712249764295975,-3.712249764295975,-3.712249764295975,-3.712249764295975,0.0,0.0,0.0,-5.6082199846769445
2020-02-06,-1.7373034542242307,-33.4669438107384,22.345879715081992,-1.7373034542242307,-1.7373034542242307,-4.540782310707391,-4.540782310707391,-4.540782310707391,-4.540782310707391,-4.540782310707391,-4.540782310707391,0.0,0.0,0.0,-6.278085764931621
2020-02-07,-1.578636688067491,-31.174501911792056,19.572848325320166,-1.578636688067491,-1.578636688067491,-3.213178981190462,-3.213178981190462,-3.213178981190462,-3.213178981190462,-3.213178981190462,-3.213178981190462,0.0,0.0,0.0,-4.791815669257953
2020-02-08,-1.419969924640877,-24.301673791046206,32.96566632091796,-1.419969924640877,-1.419969924640877,5.940470049475397,5.940470049475397,5.940470049475397,5.940470049475397,5.940470049475397,5.940470049475397,0.0,0.0,0.0,4.52050012483452
2020-02-09,-1.2613031612142631,-23.45183805167819,31.564891503666217,-1.2613031612142631,-1.2613031612142631,5.465030009351052,5.465030009351052,5.465030009351052,5.465030009351052,5.465030009351052,5.465030009351052,0.0,0.0,0.0,4.203726848136789
2020-02-10,-1.102636397787649,-27.88491307097843,30.38115744778281,-1.102636397787649,-1.102636397787649,2.210046532928803,2.210046532928803,2.210046532928803,2.210046532928803,2.210046532928803,2.210046532928803,0.0,0.0,0.0,1.107410135141154
2020-02-11,-0.9439696344332148,-30.130516450773452,24.605379472992016,-0.9439696344332148,-0.9439696344332148,-2.1493355355443673,-2.1493355355443673,-2.1493355355443673,-2.1493355355443673,-2.1493355355443673,-2.1493355355443673,0.0,0.0,0.0,-3.093305169977582
2020-02-12,-0.7853028710787806,-34.14285248878113,25.253749001700374,-0.7853028710787806,-0.7853028710787806,-3.7122497642915335,-3.7122497642915335,-3.7122497642915335,-3.7122497642915335,-3.7122497642915335,-3.7122497642915335,0.0,0.0,0.0,-4.497552635370314
2020-02-13,-0.6266361077243464,-34.54151847935632,21.333859444183137,-0.6266361077243464,-0.6266361077243464,-4.540782310712376,-4.540782310712376,-4.540782310712376,-4.540782310712376,-4.540782310712376,-4.540782310712376,0.0,0.0,0.0,-5.167418418436722
2020-02-14,-0.4679693403669626,-31.305930868182827,23.449865213232325,-0.4679693403669626,-0.4679693403669626,-3.2131789811865694,-3.2131789811865694,-3.2131789811865694,-3.2131789811865694,-3.2131789811865694,-3.2131789811865694,0.0,0.0,0.0,-3.681148321553532
2020-02-15,-0.30930257300957886,-20.631925079033845,32.41384973544278,-0.30930257300957886,-0.30930257300957886,5.940470049479693,5.940470049479693,5.940470049479693,5.940470049479693,5.940470049479693,5.940470049479693,0.0,0.0,0.0,5.631167476470114
2020-02-16,-0.15063580565219506,-21.58857260930194,32.616610977902454,-0.15063580565219503,-0.15063580565219503,5.465030009346336,5.465030009346336,5.465030009346336,5.465030009346336,5.465030009346336,5.465030009346336,0.0,0.0,0.0,5.314394203694141
2020-02-17,0.008042721247660894,-23.121882833055817,27.962652857136042,0.008042721247660894,0.008042721247660894,2.21004653291744,2.21004653291744,2.21004653291744,2.21004653291744,2.21004653291744,2.21004653291744,0.0,0.0,0.0,2.218089254165101
2020-02-18,0.16672124814751738,-29.09534024845634,26.68236153677773,0.16672124814751738,0.16672124814751738,-2.149335535551565,-2.149335535551565,-2.149335535551565,-2.149335535551565,-2.149335535551565,-2.149335535551565,0.0,0.0,0.0,-1.9826142874040478
2020-02-19,0.3253997750473723,-30.434635272844858,23.786930778815496,0.3253997750473723,0.3253997750473723,-3.712249764302333,-3.712249764302333,-3.712249764302333,-3.712249764302333,-3.712249764302333,-3.712249764302333,0.0,0.0,0.0,-3.3868499892549604
2020-02-20,0.48407831546158475,-31.48310393692967,25.565858524594113,0.48407831546158475,0.48407831546158475,-4.54078231071126,-4.54078231071126,-4.54078231071126,-4.54078231071126,-4.54078231071126,-4.54078231071126,0.0,0.0,0.0,-4.056703995249675
2020-02-21,0.6427568558757978,-30.16991730957855,24.10169100907043,0.6427568558757977,0.6427568558757977,-3.213178981182677,-3.213178981182677,-3.213178981182677,-3.213178981182677,-3.213178981182677,-3.213178981182677,0.0,0.0,0.0,-2.5704221253068793
2020-02-22,0.8014365644933494,-19.81951522606965,35.2336692156639,0.8014365644933494,0.8014365644933494,5.940470049460406,5.940470049460406,5.940470049460406,5.940470049460406,5.940470049460406,5.940470049460406,0.0,0.0,0.0,6.741906613953756
2020-02-23,0.9601162731109028,-19.962831284104208,34.74091715406026,0.9601162731109028,0.9601162731109028,5.46503000934845,5.46503000934845,5.46503000934845,5.46503000934845,5.46503000934845,5.46503000934845,0.0,0.0,0.0,6.425146282459353
2020-02-24,1.1187959817284545,-23.1814679404862,30.324365830839973,1.1187959817284545,1.1187959817284545,2.210046532918337,2.210046532918337,2.210046532918337,2.210046532918337,2.210046532918337,2.210046532918337,0.0,0.0,0.0,3.3288425146467917
2020-02-25,1.2783076700675333,-29.24033446959393,26.77333225963419,1.2783076700675333,1.2783076700675333,-2.1493355355435013,-2.1493355355435013,-2.1493355355435013,-2.1493355355435013,-2.1493355355435013,-2.1493355355435013,0.0,0.0,0.0,-0.871027865475968
