ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-24,-13.465722773070084,-235.69893908816434,459.9091620597324,-13.465722773070084,-13.465722773070084,114.92925488114287,114.92925488114287,114.92925488114287,114.92925488114287,114.92925488114287,114.92925488114287,0.0,0.0,0.0,101.46353210807278
2020-01-25,-12.913472093610306,-330.47592888593806,342.29458823348284,-12.913472093610306,-12.913472093610306,35.755950493597624,35.755950493597624,35.755950493597624,35.755950493597624,35.755950493597624,35.755950493597624,0.0,0.0,0.0,22.842478399987318
2020-01-26,-12.361221414150526,-317.4330289799332,381.4165209929173,-12.361221414150524,-12.361221414150524,51.9122101222116,51.9122101222116,51.9122101222116,51.9122101222116,51.9122101222116,51.9122101222116,0.0,0.0,0.0,39.55098870806107
2020-01-27,-11.80897073469075,-407.39601412305694,266.0573796484637,-11.80897073469075,-11.80897073469075,-62.867666172248384,-62.867666172248384,-62.867666172248384,-62.867666172248384,-62.867666172248384,-62.867666172248384,0.0,0.0,0.0,-74.67663690693914
2020-01-28,-11.256719849655584,-430.0258585857895,241.87105334651173,-11.256719849655584,-11.256719849655584,-74.28007616857536,-74.28007616857536,-74.28007616857536,-74.28007616857536,-74.28007616857536,-74.28007616857536,0.0,0.0,0.0,-85.53679601823094
2020-01-29,-10.70446896462042,-355.2518865173021,316.0940593444371,-10.704468964620418,-10.704468964620418,-19.28912257875669,-19.28912257875669,-19.28912257875669,-19.28912257875669,-19.28912257875669,-19.28912257875669,0.0,0.0,0.0,-29.993591543377107
2020-01-30,-10.152218079585257,-414.5758824480075,270.5678127260677,-10.152218079585257,-10.152218079585257,-46.16055057681247,-46.16055057681247,-46.16055057681247,-46.16055057681247,-46.16055057681247,-46.16055057681247,0.0,0.0,0.0,-56.31276865639772
2020-01-31,-9.599967052746997,-222.56751204451496,468.7654759810047,-9.599967052746997,-9.599967052746997,114.92925488097994,114.92925488097994,114.92925488097994,114.92925488097994,114.92925488097994,114.92925488097994,0.0,0.0,0.0,105.32928782823294
2020-02-01,-9.047716025908734,-308.07059122084263,350.02881570557804,-9.047716025908734,-9.047716025908734,35.75595049346755,35.75595049346755,35.75595049346755,35.75595049346755,35.75595049346755,35.75595049346755,0.0,0.0,0.0,26.708234467558817
2020-02-02,-8.495464999070474,-298.6500060385414,373.59942491599736,-8.495464999070474,-8.495464999070474,51.91221012208905,51.91221012208905,51.91221012208905,51.91221012208905,51.91221012208905,51.91221012208905,0.0,0.0,0.0,43.41674512301857
