ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-24,-10.962488176696727,-167.151091610632,208.5806916636862,-10.962488176696727,-10.962488176696727,41.30147638351084,41.30147638351084,41.30147638351084,41.30147638351084,41.30147638351084,41.30147638351084,0.0,0.0,0.0,30.33898820681411
2020-01-25,-10.510007729619833,-185.39831879665041,199.34071642565044,-10.510007729619833,-10.510007729619833,10.908026824311763,10.908026824311763,10.908026824311763,10.908026824311763,10.908026824311763,10.908026824311763,0.0,0.0,0.0,0.3980190946919304
2020-01-26,-10.057527282542939,-197.4591435491749,181.40152933636878,-10.057527282542939,-10.057527282542939,-5.087167962627077,-5.087167962627077,-5.087167962627077,-5.087167962627077,-5.087167962627077,-5.087167962627077,0.0,0.0,0.0,-15.144695245170016
2020-01-27,-9.605046835466045,-228.61401818743158,156.76090678410262,-9.605046835466045,-9.605046835466045,-28.290879680880916,-28.290879680880916,-28.290879680880916,-28.290879680880916,-28.290879680880916,-28.290879680880916,0.0,0.0,0.0,-37.89592651634696
2020-01-28,-9.152565800845593,-227.62304637841194,164.9981451451678,-9.152565800845593,-9.152565800845593,-16.298075229829795,-16.298075229829795,-16.298075229829795,-16.298075229829795,-16.298075229829795,-16.298075229829795,0.0,0.0,0.0,-25.45064103067539
2020-01-29,-8.700084766225144,-210.09912533085003,166.6385330077311,-8.700084766225144,-8.700084766225144,-8.93826650671331,-8.93826650671331,-8.93826650671331,-8.93826650671331,-8.93826650671331,-8.93826650671331,0.0,0.0,0.0,-17.638351272938454
2020-01-30,-8.247603731604695,-187.1485052661555,187.25956581549414,-8.247603731604695,-8.247603731604695,6.404886172399167,6.404886172399167,6.404886172399167,6.404886172399167,6.404886172399167,6.404886172399167,0.0,0.0,0.0,-1.8427175592055276
2020-01-31,-7.795122529679714,-163.87708003390995,215.7789739849967,-7.795122529679714,-7.795122529679714,41.301476383521035,41.301476383521035,41.301476383521035,41.301476383521035,41.301476383521035,41.301476383521035,0.0,0.0,0.0,33.50635385384132
2020-02-01,-7.342641327754734,-181.71175543879306,201.43209282595086,-7.342641327754734,-7.342641327754734,10.908026824288438,10.908026824288438,10.908026824288438,10.908026824288438,10.908026824288438,10.908026824288438,0.0,0.0,0.0,3.565385496533704
2020-02-02,-6.890160125829755,-193.49734158044356,174.62384067702354,-6.890160125829755,-6.890160125829755,-5.087167962651364,-5.087167962651364,-5.087167962651364,-5.087167962651364,-5.087167962651364,-5.087167962651364,0.0,0.0,0.0,-11.97732808848112
2020-02-03,-6.437678215699275,-221.31766738618867,148.06214237655368,-6.437678215699275,-6.437678215699275,-28.290879680875534,-28.290879680875534,-28.290879680875534,-28.290879680875534,-28.290879680875534,-28.290879680875534,0.0,0.0,0.0,-34.72855789657481
2020-02-04,-5.985196305568795,-204.4926435682811,166.69289353996012,-5.985196305568795,-5.985196305568795,-16.298075229839814,-16.298075229839814,-16.298075229839814,-16.298075229839814,-16.298075229839814,-16.298075229839814,0.0,0.0,0.0,-22.28327153540861
2020-02-05,-5.532714395438316,-203.49886028781503,171.56836484467019,-5.532714395438316,-5.532714395438316,-8.93826650675012,-8.93826650675012,-8.93826650675012,-8.93826650675012,-8.93826650675012,-8.93826650675012,0.0,0.0,0.0,-14.470980902188437
2020-02-06,-5.08023170791682,-195.39078013159389,183.07861114334088,-5.08023170791682,-5.08023170791682,6.404886172243158,6.404886172243158,6.404886172243158,6.404886172243158,6.404886172243158,6.404886172243158,0.0,0.0,0.0,1.324654464326338
2020-02-07,-4.62774902039532,-153.63421038741606,226.55982177925787,-4.62774902039532,-4.62774902039532,41.30147638350552,41.30147638350552,41.30147638350552,41.30147638350552,41.30147638350552,41.30147638350552,0.0,0.0,0.0,36.6737273631102
2020-02-08,-4.175265918743347,-174.97953844929393,195.61348895492375,-4.175265918743347,-4.175265918743347,10.90802682426584,10.90802682426584,10.90802682426584,10.90802682426584,10.90802682426584,10.90802682426584,0.0,0.0,0.0,6.732760905522492
2020-02-09,-3.722782817091374,-190.8843075686594,195.06131807033796,-3.7227828170913737,-3.7227828170913737,-5.087167962675649,-5.087167962675649,-5.087167962675649,-5.087167962675649,-5.087167962675649,-5.087167962675649,0.0,0.0,0.0,-8.809950779767023
2020-02-10,-3.270299715439401,-227.86747669977328,167.91361983188887,-3.270299715439401,-3.270299715439401,-28.290879680911797,-28.290879680911797,-28.290879680911797,-28.290879680911797,-28.290879680911797,-28.290879680911797,0.0,0.0,0.0,-31.561179396351196
2020-02-11,-2.817816995677168,-206.79494326115207,177.44970950062108,-2.817816995677168,-2.817816995677168,-16.29807522987037,-16.29807522987037,-16.29807522987037,-16.29807522987037,-16.29807522987037,-16.29807522987037,0.0,0.0,0.0,-19.11589222554754
2020-02-12,-2.365334275914933,-205.2785718691163,179.47501910906342,-2.365334275914933,-2.365334275914933,-8.938266506786924,-8.938266506786924,-8.938266506786924,-8.938266506786924,-8.938266506786924,-8.938266506786924,0.0,0.0,0.0,-11.303600782701857
2020-02-13,-1.9128515561526995,-200.75401048138414,184.73563976998167,-1.9128515561526995,-1.9128515561526995,6.404886172301832,6.404886172301832,6.404886172301832,6.404886172301832,6.404886172301832,6.404886172301832,0.0,0.0,0.0,4.492034616149132
2020-02-14,-1.451948623706505,-144.69832377639787,237.12785514211518,-1.451948623706505,-1.451948623706505,41.30147638351651,41.30147638351651,41.30147638351651,41.30147638351651,41.30147638351651,41.30147638351651,0.0,0.0,0.0,39.84952775981
