date,state,aqi,cases,Population_Count
2020-01-24,Alabama,low,0.0,73181.86567164179
2020-01-24,Arizona,low,0.0,485247.8
2020-01-24,Arkansas,low,0.0,40237.386666666665
2020-01-24,California,low,0.0,681245.224137931
2020-01-24,Colorado,low,0.0,89980.25
2020-01-24,Connecticut,low,0.0,445660.875
2020-01-24,Delaware,low,0.0,324588.0
2020-01-24,Florida,low,0.0,320563.2388059702
2020-01-24,Georgia,low,0.0,66776.24528301887
2020-01-24,Hawaii,low,0.0,283174.4
2020-01-24,Idaho,low,0.0,40615.11363636364
2020-01-24,Illinois,low,1.0,124233.53921568628
2020-01-24,Indiana,low,0.0,73176.29347826086
2020-01-24,Kansas,low,0.0,27745.847619047618
2020-01-24,Kentucky,low,0.0,37230.60833333333
2020-01-24,Louisiana,low,0.0,72637.40625
2020-01-24,Maine,low,0.0,84013.25
2020-01-24,Maryland,low,0.0,251903.33333333334
2020-01-24,Massachusetts,low,0.0,461415.6
2020-01-24,Michigan,low,0.0,120323.578313253
2020-01-24,Minnesota,low,0.0,64823.35632183908
2020-01-24,Mississippi,low,0.0,36294.5
2020-01-24,Missouri,low,0.0,57123.887931034486
2020-01-24,Montana,low,0.0,19085.321428571428
2020-01-24,Nebraska,low,0.0,20800.086021505376
2020-01-24,Nevada,low,0.0,181185.64705882352
2020-01-24,New Hampshire,low,0.0,135971.1
2020-01-24,New Jersey,low,0.0,422961.4285714286
2020-01-24,New Mexico,low,0.0,63540.27272727273
2020-01-24,New York,low,0.0,421962.4516129032
2020-01-24,North Carolina,low,0.0,104880.84
2020-01-24,North Dakota,low,0.0,14378.528301886792
2020-01-24,Ohio,low,0.0,132830.68181818182
2020-01-24,Oklahoma,low,0.0,51389.23376623377
2020-01-24,Oregon,low,0.0,117159.36111111111
2020-01-24,Pennsylvania,low,0.0,191074.46268656716
2020-01-24,Rhode Island,low,0.0,211872.2
2020-01-24,South Carolina,low,0.0,111928.56521739131
2020-01-24,South Dakota,low,0.0,13403.924242424242
2020-01-24,Tennessee,low,0.0,71886.04210526316
2020-01-24,Texas,low,0.0,114157.01181102362
2020-01-24,Utah,low,0.0,117027.42857142857
2020-01-24,Vermont,low,0.0,44570.642857142855
2020-01-24,Virginia,low,0.0,64176.83458646617
2020-01-24,Washington,low,1.0,195253.66666666666
2020-01-24,West Virginia,low,0.0,32584.49090909091
2020-01-24,Wisconsin,low,0.0,80867.13888888889
2020-01-24,Wyoming,low,0.0,25163.434782608696
2020-01-25,Alabama,low,0.0,73181.86567164179
2020-01-25,Arizona,low,0.0,485247.8
2020-01-25,Arkansas,low,0.0,40237.386666666665
2020-01-25,California,low,0.0,681245.224137931
2020-01-25,Colorado,low,0.0,89980.25
2020-01-25,Connecticut,low,0.0,445660.875
2020-01-25,Delaware,low,0.0,324588.0
2020-01-25,Florida,low,0.0,320563.2388059702
2020-01-25,Georgia,low,0.0,66776.24528301887
2020-01-25,Hawaii,low,0.0,283174.4
2020-01-25,Idaho,low,0.0,40615.11363636364
2020-01-25,Illinois,low,1.0,124233.53921568628
2020-01-25,Indiana,low,0.0,73176.29347826086
2020-01-25,Kansas,low,0.0,27745.847619047618
2020-01-25,Kentucky,low,0.0,37230.60833333333
2020-01-25,Louisiana,low,0.0,72637.40625
2020-01-25,Maine,low,0.0,84013.25
2020-01-25,Maryland,low,0.0,251903.33333333334
2020-01-25,Massachusetts,low,0.0,461415.6
2020-01-25,Michigan,low,0.0,120323.578313253
2020-01-25,Minnesota,low,0.0,64823.35632183908
2020-01-25,Mississippi,low,0.0,36294.5
2020-01-25,Missouri,low,0.0,57123.887931034486
2020-01-25,Montana,low,0.0,19085.321428571428
2020-01-25,Nebraska,low,0.0,20800.086021505376
2020-01-25,Nevada,low,0.0,181185.64705882352
2020-01-25,New Hampshire,low,0.0,135971.1
2020-01-25,New Jersey,low,0.0,422961.4285714286
2020-01-25,New Mexico,low,0.0,63540.27272727273
2020-01-25,New York,low,0.0,421962.4516129032
2020-01-25,North Carolina,low,0.0,104880.84
2020-01-25,North Dakota,low,0.0,14378.528301886792
2020-01-25,Ohio,low,0.0,132830.68181818182
2020-01-25,Oklahoma,low,0.0,51389.23376623377
2020-01-25,Pennsylvania,low,0.0,191074.46268656716
2020-01-25,Rhode Island,low,0.0,211872.2
2020-01-25,South Carolina,low,0.0,111928.56521739131
2020-01-25,South Dakota,low,0.0,13403.924242424242
2020-01-25,Tennessee,low,0.0,71886.04210526316
2020-01-25,Texas,low,0.0,114157.01181102362
2020-01-25,Utah,low,0.0,117027.42857142857
2020-01-25,Vermont,low,0.0,44570.642857142855
2020-01-25,Virginia,low,0.0,64176.83458646617
2020-01-25,Washington,low,1.0,195253.66666666666
2020-01-25,Wisconsin,low,0.0,80867.13888888889
2020-01-25,Wyoming,low,0.0,25163.434782608696
2020-01-26,Alabama,low,0.0,73181.86567164179
2020-01-26,Alaska,low,0.0,25225.689655172413
2020-01-26,Arizona,low,1.0,485247.8
2020-01-26,Arkansas,low,0.0,40237.386666666665
2020-01-26,California,low,2.0,681245.224137931
2020-01-26,Colorado,low,0.0,89980.25
2020-01-26,Connecticut,low,0.0,445660.875
2020-01-26,Delaware,low,0.0,324588.0
2020-01-26,Florida,low,0.0,320563.2388059702
2020-01-26,Georgia,low,0.0,66776.24528301887
2020-01-26,Hawaii,low,0.0,283174.4
2020-01-26,Idaho,low,0.0,40615.11363636364
2020-01-26,Illinois,low,1.0,124233.53921568628
2020-01-26,Indiana,low,0.0,73176.29347826086
2020-01-26,Kansas,low,0.0,27745.847619047618
2020-01-26,Kentucky,low,0.0,37230.60833333333
2020-01-26,Louisiana,low,0.0,72637.40625
2020-01-26,Maine,low,0.0,84013.25
2020-01-26,Maryland,low,0.0,251903.33333333334
2020-01-26,Massachusetts,low,0.0,461415.6
2020-01-26,Michigan,low,0.0,120323.578313253
2020-01-26,Minnesota,low,0.0,64823.35632183908
2020-01-26,Mississippi,low,0.0,36294.5
2020-01-26,Missouri,low,0.0,57123.887931034486
2020-01-26,Montana,low,0.0,19085.321428571428
2020-01-26,Nebraska,low,0.0,20800.086021505376
2020-01-26,Nevada,low,0.0,181185.64705882352
2020-01-26,New Hampshire,low,0.0,135971.1
2020-01-26,New Jersey,low,0.0,422961.4285714286
2020-01-26,New Mexico,low,0.0,63540.27272727273
2020-01-26,New York,low,0.0,421962.4516129032
2020-01-26,North Carolina,low,0.0,104880.84
2020-01-26,North Dakota,low,0.0,14378.528301886792
2020-01-26,Ohio,low,0.0,132830.68181818182
2020-01-26,Oklahoma,low,0.0,51389.23376623377
2020-01-26,Oregon,low,0.0,117159.36111111111
2020-01-26,Pennsylvania,low,0.0,191074.46268656716
2020-01-26,Rhode Island,low,0.0,211872.2
2020-01-26,South Carolina,low,0.0,111928.56521739131
2020-01-26,South Dakota,low,0.0,13403.924242424242
2020-01-26,Tennessee,low,0.0,71886.04210526316
2020-01-26,Texas,low,0.0,114157.01181102362
2020-01-26,Utah,low,0.0,117027.42857142857
2020-01-26,Vermont,low,0.0,44570.642857142855
2020-01-26,Virginia,low,0.0,64176.83458646617
2020-01-26,Washington,low,1.0,195253.66666666666
2020-01-26,West Virginia,low,0.0,32584.49090909091
2020-01-26,Wisconsin,low,0.0,80867.13888888889
2020-01-26,Wyoming,low,0.0,25163.434782608696
2020-01-27,Alabama,low,0.0,73181.86567164179
2020-01-27,Alaska,low,0.0,25225.689655172413
2020-01-27,Arizona,low,1.0,485247.8
2020-01-27,Arkansas,low,0.0,40237.386666666665
2020-01-27,California,low,2.0,681245.224137931
2020-01-27,Colorado,low,0.0,89980.25
2020-01-27,Connecticut,low,0.0,445660.875
2020-01-27,Delaware,low,0.0,324588.0
2020-01-27,Florida,low,0.0,320563.2388059702
2020-01-27,Georgia,low,0.0,66776.24528301887
2020-01-27,Hawaii,low,0.0,283174.4
2020-01-27,Idaho,low,0.0,40615.11363636364
2020-01-27,Illinois,low,1.0,124233.53921568628
2020-01-27,Indiana,low,0.0,73176.29347826086
2020-01-27,Kansas,low,0.0,27745.847619047618
